run_name,dataset,algorithm,variant,seed,pr_auc,roc_auc,mcc,f1,distance_concentration_ratio,n_features,pca_variance,recall_type_g,recall_type_l
phase4__musk__OCSVM__seed-0__task-001436__cfg-d8932567,musk,OCSVM,pca-0.90,0,0.28713025007414483,0.9202308722031953,0.15780098826744798,0.18461538461538463,10.88768454727035,5.0,0.9,,
phase4__musk__OCSVM__seed-0__task-001435__cfg-4cc6df45,musk,OCSVM,pca-0.75,0,0.1844200580660636,0.3421220076146103,0.15780098826744798,0.18461538461538463,13.387551992525717,3.0,0.75,,
phase4__musk__OCSVM__seed-0__task-001434__cfg-20d2aa71,musk,OCSVM,pca-0.50,0,0.150100950738464,0.3127553415274421,0.1260193641011516,0.15384615384615385,16.710023251454462,2.0,0.5,,
phase4__musk__OCSVM__seed-0__task-001433__cfg-a497095c,musk,OCSVM,pca-0.25,0,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.25,,
phase4__musk__OCSVM__seed-0__task-001432__cfg-576aeb73,musk,OCSVM,pca-0.10,0,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.1,,
phase4__musk__OCSVM__seed-0__task-001431__cfg-c6949c2e,musk,OCSVM,pca-0.05,0,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.05,,
phase4__musk__OCSVM__seed-0__task-001430__cfg-6ae026b6,musk,OCSVM,pca-0.01,0,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-42__task-001429__cfg-75e51b5a,arrhythmia,DBSCAN,dimensionality-raw-preprocess,42,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-42__task-001428__cfg-fe99679f,arrhythmia,LOF,dimensionality-raw-preprocess,42,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__HBOS__seed-42__task-001427__cfg-deae5fc5,arrhythmia,HBOS,pca-0.99,42,0.34361170954429443,0.7806563039723661,0.2725702622075679,0.3787878787878788,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__HBOS__seed-42__task-001426__cfg-453fec56,arrhythmia,HBOS,pca-0.90,42,0.5043985595794923,0.7425812529439473,0.34353901711414664,0.4393939393939394,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__HBOS__seed-42__task-001425__cfg-2a403d30,arrhythmia,HBOS,pca-0.75,42,0.34656812250817404,0.683761186999529,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__HBOS__seed-42__task-001424__cfg-01e9766a,arrhythmia,HBOS,pca-0.50,42,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__HBOS__seed-42__task-001423__cfg-fb4ddcad,arrhythmia,HBOS,pca-0.25,42,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__HBOS__seed-42__task-001422__cfg-11234981,arrhythmia,HBOS,pca-0.10,42,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.1,,
phase4__arrhythmia__HBOS__seed-42__task-001421__cfg-185085c3,arrhythmia,HBOS,pca-0.05,42,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__HBOS__seed-42__task-001420__cfg-04e517ea,arrhythmia,HBOS,pca-0.01,42,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-3__task-001419__cfg-1aca7e30,arrhythmia,DBSCAN,dimensionality-raw-preprocess,3,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-3__task-001418__cfg-f14c9f37,arrhythmia,LOF,dimensionality-raw-preprocess,3,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__HBOS__seed-3__task-001417__cfg-f5cba460,arrhythmia,HBOS,pca-0.99,3,0.34361170954429443,0.7806563039723661,0.2725702622075679,0.3787878787878788,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__HBOS__seed-3__task-001416__cfg-863da383,arrhythmia,HBOS,pca-0.90,3,0.5043985595794923,0.7425812529439473,0.34353901711414664,0.4393939393939394,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__HBOS__seed-3__task-001415__cfg-c442f234,arrhythmia,HBOS,pca-0.75,3,0.34656812250817404,0.683761186999529,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__HBOS__seed-3__task-001414__cfg-cc21cd45,arrhythmia,HBOS,pca-0.50,3,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__HBOS__seed-3__task-001413__cfg-ae24f73b,arrhythmia,HBOS,pca-0.25,3,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__HBOS__seed-3__task-001412__cfg-ad5dc49b,arrhythmia,HBOS,pca-0.10,3,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.1,,
phase4__arrhythmia__HBOS__seed-3__task-001411__cfg-2785d395,arrhythmia,HBOS,pca-0.05,3,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__HBOS__seed-3__task-001410__cfg-bf4efbb5,arrhythmia,HBOS,pca-0.01,3,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-2__task-001409__cfg-4e8b114c,arrhythmia,DBSCAN,dimensionality-raw-preprocess,2,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-2__task-001408__cfg-71071d35,arrhythmia,LOF,dimensionality-raw-preprocess,2,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__HBOS__seed-2__task-001407__cfg-f7c6027e,arrhythmia,HBOS,pca-0.99,2,0.34361170954429443,0.7806563039723661,0.2725702622075679,0.3787878787878788,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__HBOS__seed-2__task-001406__cfg-903360de,arrhythmia,HBOS,pca-0.90,2,0.5043985595794923,0.7425812529439473,0.34353901711414664,0.4393939393939394,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__HBOS__seed-2__task-001405__cfg-91cdefe8,arrhythmia,HBOS,pca-0.75,2,0.34656812250817404,0.683761186999529,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__HBOS__seed-2__task-001404__cfg-3f77862e,arrhythmia,HBOS,pca-0.50,2,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__HBOS__seed-2__task-001403__cfg-1eaae863,arrhythmia,HBOS,pca-0.25,2,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__HBOS__seed-2__task-001402__cfg-e20e17a7,arrhythmia,HBOS,pca-0.10,2,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.1,,
